fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,11,GUJARAT,1107,KACHCHH,732040,225.30379111609,39,14,64.608661745,1581,117,2240,363331,25279,4708,648,162,233.52443,1116.731609045,9290,12382,38532,64803,130,86467,138199,3821,818.5985173,184579,75,24.56,48.6,99.95,NA
2024-2025,Dec,11,GUJARAT,1116,BHARUCH,427625,243.078571513799,31,25,1807.53590714101,3725,21,2866,251427,8180,1863,178714,38783,135.50006,2554.20112714101,8105,10932,24192,50468,48,123772,247751,6591,611.16516,116342,54,10.11,3.31,99.99,NA
2024-2025,Dec,11,GUJARAT,1118,VALSAD,732000,250.694978852783,34,4,317.49010475099,7616,0,6647,782136,7357,1279,683394,115348,260.93091,2539.19669455099,22770,29232,58753,128555,32,223342,463710,14263,1960.7756798,420954,90,22.9,10.07,99.97,NA
2024-2025,Dec,11,GUJARAT,1122,ANAND,499057,232.186245153289,36,25,287.787814504,2147,0,1601,312841,14123,3042,5585,652,143.68213,1157.843715704,8675,11819,25429,43256,58,42319,68855,3748,726.3737712,160940,75,51.4,13.91,100,NA
2024-2025,Dec,11,GUJARAT,1130,ARVALLI,2354870,218.084973074924,49,569,1325.156031122,11443,19,3520,2433605,105028,7504,672167,50007,206.02422,6838.507060122,48833,74011,79437,160946,1381,150147,297149,14963,5307.326809,1174775,74,5.72,49.02,99.94,NA
2024-2025,Dec,11,GUJARAT,1131,GIR SOMNATH,425859,248.980545641358,33,40,314.031836416,1400,6,1241,221904,32803,6112,4146,806,137.29518,1003.824806416,6625,12848,23654,56803,41,48628,110915,2641,552.49779,116037,69,15.15,39.39,99.99,NA
2024-2025,Dec,11,GUJARAT,1132,DEVBHUMI DWARKA,254774,244.72257360778,36,22,32.742279,1458,16,2148,120096,8348,2910,2642,651,48.45044,375.094740999999,3284,4656,15051,28352,2,48510,97553,3606,293.902022,39262,80,56.63,10.93,99.93,NA
2024-2025,Dec,11,GUJARAT,1133,MAHISAGAR,1286318,206.103163576722,37,591,745.423793136,5871,6,4895,1116363,38381,6775,439302,64762,165.16888,3211.452133136,29787,44695,76930,165704,124,158550,334582,10766,2300.85946,465703,74,13.16,43.57,100,NA
2024-2025,Dec,11,GUJARAT,1101,JAMNAGAR,479081,245.388007619619,43,21,309.3235236,1294,50,1420,293453,46589,5162,2393,203,89.00566,1118.4276536,6800,10973,20922,37867,68,46871,87773,2714,720.09847,116281,44,15.08,36.31,100,NA
2024-2025,Dec,11,GUJARAT,1107,KACHCHH,732040,224.332291340413,38,14,64.608661745,1581,122,2238,361426,25229,4708,648,162,233.52443,1108.928319045,9281,12371,38530,64800,130,86449,138157,3819,810.7952273,183298,75,24.69,48.38,99.95,NA
2024-2025,Dec,11,GUJARAT,1118,VALSAD,732000,248.825552016519,34,4,317.49010475099,7612,0,6541,774850,7226,1277,677177,115257,260.93091,2506.44580455099,22548,28983,58714,128457,31,223328,463684,14153,1928.0247898,415095,90,22.95,10.13,99.97,NA
2024-2025,Dec,11,GUJARAT,1119,DANG,841281,281.887887231823,41,118,111.1521642,3750,0,4922,739996,1451,92,715332,58178,165.32356,2362.4348142,17835,26759,32650,59724,82,48171,87070,8672,2085.95909,338958,78,64.8,21.56,99.99,NA
2024-2025,Dec,11,GUJARAT,1123,DOHAD,9074613,262.165323107309,50,3879,13126.126856184,84206,72,58360,7287811,59750,6102,4740718,441547,545.77575,32778.015861784,144104,188552,318479,657456,3457,583841,1245012,142566,19106.1132556,3342378,57,71.65,15.15,99.73,NA
2024-2025,Dec,11,GUJARAT,1106,JUNAGADH,629664,221.039987321761,35,169,331.9102941,2014,37,1509,255556,56848,18100,12304,4440,141.01593,1037.8071741,7143,13005,34339,84752,23,115407,292396,3523,564.88095,103535,73,10.49,36.17,100,NA
2024-2025,Dec,11,GUJARAT,1109,SABAR KANTHA,1601747,250.28363757311,39,127,1101.101927618,4196,56,5283,1227431,184616,24846,464292,59263,252.70452,4425.865403118,31421,45626,70457,149701,198,161164,321749,9479,3072.0589555,635458,79,9.31,66.34,100.04,NA
2024-2025,Dec,11,GUJARAT,1113,KHEDA,591468,226.777186832675,35,14,133.855747088,4473,1,7417,411625,6252,1638,1225,375,126.25321,1193.580552388,11488,14368,36678,72666,47,139964,283114,11890,933.471595299999,129109,86,43.78,5.93,100,NA
2024-2025,Nov,11,GUJARAT,1118,VALSAD,624000,250.304698159897,32,4,317.49010475099,6594,0,8109,685777,6383,1270,600794,114134,224.22836,2258.25051465099,20851,26734,58119,127236,19,222969,462914,14703,1716.5320499,371233,91,18.43,11.46,99.96,NA
2024-2025,Nov,11,GUJARAT,1128,Botad,306679,235.262592896644,31,33,160.362886653,1067,0,1199,157137,5791,1752,111,41,59.72535,589.772817253,5043,9749,20162,45818,5,53095,120922,2266,369.6845806,69382,65,11.06,48.2,99.93,NA
2024-2025,Nov,11,GUJARAT,1101,JAMNAGAR,445918,244.223151194393,42,21,303.8222084,1013,56,1807,279640,45287,5135,2350,202,80.34206,1067.1098884,6525,10598,20786,37650,58,46756,87609,2820,682.94562,112271,48,15.14,38.33,99.99,NA
2024-2025,Nov,11,GUJARAT,1108,BANAS KANTHA,1696535,236.262395056639,45,479,957.906560067,4766,48,5418,1600935,434312,34816,189452,17110,379.8113,5120.125234367,34949,47771,77597,141302,316,179577,321138,10184,3782.4073743,911411,69,13.83,54.46,99.97,NA
2024-2025,Nov,11,GUJARAT,1109,SABAR KANTHA,1386747,247.365084738096,38,125,1101.021847618,3755,57,6346,1127474,174669,24751,413922,58570,229.0662,4119.065063118,29445,42608,69464,147827,172,160210,320117,10101,2788.9770155,589111,81,9.79,64.68,99.58,NA
2024-2025,Nov,11,GUJARAT,1119,DANG,763313,285.808677225927,39,118,111.0667212,2766,0,6086,679088,1435,92,657575,57875,147.26894,2199.2280912,17313,25889,32517,59417,61,47911,86500,8852,1940.89243,312302,81,65.2,21.18,99.97,NA
2024-2025,Nov,11,GUJARAT,1123,DOHAD,8249441,261.638429451701,49,3818,12312.537138084,71379,72,65655,7041006,57942,6074,4582735,439597,496.36634,31230.880994084,140921,184427,317189,654889,3009,582440,1242475,137034,18421.977516,3235539,55,72.18,15.53,99.55,NA
2024-2025,Nov,11,GUJARAT,1124,NARMADA,2170839,244.907201251274,29,874,3460.206565058,6636,0,12627,1790175,33365,3591,1619397,168634,189.6566,8034.130655058,61357,96976,90376,185820,348,110354,215959,19263,4384.26749,958316,72,22.52,20.27,100.03,NA
2024-2025,Nov,11,GUJARAT,1127,Morbi,145905,200.370056396025,40,1,117.818505976,817,26,799,111710,11345,1187,267,17,50.95872,392.610615976,2771,4338,6182,12111,62,30908,65612,1616,223.83339,50483,56,51.51,7.75,100,NA
